IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,11425,4698,17448,24222,1627.5
1,11425,4698,17176,24183,1627.5045
2,11425,4698,16946,24160,1627.509
3,11425,4698,16706,24123,1627.5135
4,11425,4698,16432,24059,1627.518
5,11425,4698,16226,24046,1627.5225
6,11425,4698,15986,24024,1627.527
7,11425,4698,15752,23990,1627.5315
8,11425,4698,15522,23982,1627.536
9,11425,4698,15266,23934,1627.5405
10,11425,4698,15040,23898,1627.545
11,11425,4698,14834,23863,1627.5495
12,11425,4698,14578,23806,1627.554
13,11196,4519,15426,24056,1627.5585
14,11196,4519,15234,24022,1627.563
15,11196,4519,15074,23996,1627.5675
16,11196,4519,14834,23931,1627.572
17,11196,4519,14642,23884,1627.5765
18,11196,4519,14424,23804,1627.581
19,11196,4519,14226,23769,1627.5855
20,11196,4519,14002,23724,1627.59
21,11196,4519,13776,23663,1627.5945
22,11196,4519,13584,23607,1627.599
23,11196,4519,13362,23544,1627.6035
24,11196,4519,13160,23487,1627.608
25,11196,4519,12968,23446,1627.6125
26,11196,4519,12770,23403,1627.617
27,10990,4392,13362,23606,1627.6215
28,10990,4392,13154,23548,1627.626
29,10990,4392,13026,23525,1627.6305
30,10990,4392,12850,23484,1627.635
31,10990,4392,12642,23439,1627.6395
32,10990,4392,12432,23390,1627.644
33,10990,4392,12242,23372,1627.6485
34,10990,4392,12050,23343,1627.653
35,10990,4392,11848,23291,1627.6575
36,10990,4392,11682,23269,1627.662
37,10990,4392,11490,23229,1627.6665
38,10784,4265,12034,23409,1627.671
39,10784,4265,11858,23389,1627.6755
40,10784,4265,11746,23357,1627.68
41,10784,4265,11570,23322,1627.6845
42,10784,4265,11376,23258,1627.689
43,10784,4265,11184,23206,1627.6935
44,10784,4265,11026,23162,1627.698
45,10784,4265,10850,23112,1627.7025
46,10784,4265,10648,23035,1627.707
47,10578,4138,11192,23245,1627.7115
48,10578,4138,11016,23163,1627.716
49,10578,4138,10920,23135,1627.7205
50,10578,4138,10728,23038,1627.725
51,10578,4138,10584,22998,1627.7295
52,10578,4138,10418,22940,1627.734
53,10578,4138,10242,22861,1627.7385
54,10578,4138,10080,22811,1627.743
55,10578,4138,9938,22767,1627.7475
56,10578,4138,9778,22711,1627.752
57,10372,4011,10242,22870,1627.7565
58,10372,4011,10098,22839,1627.761
59,10372,4011,9970,22798,1627.7655
60,10372,4011,9826,22762,1627.77
61,10372,4011,9672,22715,1627.7745
62,10372,4011,9512,22670,1627.779
63,10372,4011,9362,22638,1627.7835
64,10372,4011,9202,22590,1627.788
65,10372,4011,9056,22566,1627.7925
66,10372,4011,8896,22524,1627.797
67,10372,4011,8754,22519,1627.8015
68,10372,4011,8610,22494,1627.806
69,10372,4011,8472,22461,1627.8105
70,10166,3884,8936,22699,1627.815
71,10166,3884,8776,22655,1627.8195
72,10166,3884,8680,22650,1627.824
73,10166,3884,8552,22638,1627.8285
74,10166,3884,8408,22606,1627.833
75,10166,3884,8258,22549,1627.8375
76,10166,3884,8114,22508,1627.842
77,10166,3884,7984,22463,1627.8465
78,10166,3884,7858,22453,1627.851
79,10166,3884,7730,22422,1627.8555
80,10166,3884,7602,22391,1627.86
81,10166,3884,7464,22346,1627.8645
82,9960,3757,7864,22517,1627.869
83,9960,3757,7736,22478,1627.8735
84,9960,3757,7656,22447,1627.878
85,9960,3757,7528,22412,1627.8825
86,9960,3757,7416,22375,1627.887
87,9960,3757,7282,22334,1627.8915
88,9960,3757,7154,22293,1627.896
89,9960,3757,7040,22245,1627.9005
90,9960,3757,6912,22205,1627.905
91,9960,3757,6802,22203,1627.9095
92,9960,3757,6674,22171,1627.914
93,9754,3630,7042,22374,1627.9185
94,9754,3630,6962,22363,1627.923
95,9754,3630,6850,22327,1627.9275
96,9754,3630,6738,22311,1627.932
97,9754,3630,6600,22267,1627.9365
98,9754,3630,6488,22255,1627.941
99,9754,3630,6386,22234,1627.9455
100,9754,3630,6274,22200,1627.95
101,9754,3630,6160,22158,1627.9545
102,9754,3630,6048,22132,1627.959
103,9548,3503,6400,22350,1627.9635
104,9548,3503,6288,22327,1627.968
105,9548,3503,6208,22285,1627.9725
106,9548,3503,6096,22254,1627.977
107,9548,3503,5986,22219,1627.9815
108,9548,3503,5890,22166,1627.986
109,9548,3503,5778,22125,1627.9905
110,9548,3503,5672,22062,1627.995
111,9548,3503,5576,22006,1627.9995
112,9548,3503,5474,21756,1628.004
113,9548,3503,5362,21708,1628.0085
114,9548,3503,5264,21647,1628.013
115,9548,3503,5168,21592,1628.0175
116,9342,3376,5488,21747,1628.022
117,9342,3376,5408,21695,1628.0265
118,9342,3376,5312,21647,1628.031
119,9342,3376,5216,21597,1628.0355
120,9342,3376,5122,21548,1628.04
121,9342,3376,5026,21502,1628.0445
122,9342,3376,4920,21462,1628.049
123,9342,3376,4824,21423,1628.0535
124,57954,43418,7634,45527,1628.058
125,57954,43418,7506,45437,1628.0625
126,57954,43418,7426,45373,1628.067
127,57954,43418,7298,45294,1628.0715
128,57954,43418,7152,45180,1628.076
129,57954,43418,7040,45102,1628.0805
130,57954,43418,6930,45050,1628.085
131,57954,43418,6818,45020,1628.0895
132,57297,42871,7042,44574,1628.094
133,57297,42871,6962,44541,1628.0985
134,57297,42871,6850,44461,1628.103
135,57297,42871,6728,44351,1628.1075
136,57297,42871,6616,44255,1628.112
137,57297,42871,6498,44203,1628.1165
138,57297,42871,6386,44142,1628.121
139,57297,42871,6290,44109,1628.1255
140,56640,42324,6530,43695,1628.13
141,56640,42324,6434,43564,1628.1345
142,56640,42324,6322,43423,1628.139
143,56640,42324,6224,43308,1628.1435
144,56640,42324,6112,43199,1628.148
145,56640,42324,6002,43128,1628.1525
146,56640,42324,5906,43035,1628.157
147,56640,42324,5800,42926,1628.1615
148,56640,42324,5704,42827,1628.166
149,55983,41777,5928,42460,1628.1705
150,55983,41777,5832,42390,1628.175
151,55983,41777,5768,42331,1628.1795
152,55983,41777,5656,42222,1628.184
153,55983,41777,5570,42151,1628.1885
154,55983,41777,5474,42074,1628.193
155,55983,41777,5360,41971,1628.1975
156,55983,41777,5264,41943,1628.202
157,55983,41777,5170,41932,1628.2065
158,55983,41777,5090,41910,1628.211
159,55326,41230,5282,41535,1628.2155
160,55326,41230,5202,41487,1628.22
161,55326,41230,5122,41413,1628.2245
162,55326,41230,5042,41401,1628.229
163,55326,41230,4952,41371,1628.2335
164,55326,41230,4840,41315,1628.238
165,55326,41230,4754,41270,1628.2425
166,55326,41230,4674,41200,1628.247
167,54668,40675,4898,40895,1628.2515
168,54668,40675,4802,40823,1628.256
169,54668,40675,4738,40763,1628.2605
170,54668,40675,4658,40699,1628.265
171,54668,40675,4560,40605,1628.2695
172,54668,40675,4480,40507,1628.274
173,54668,40675,4402,40415,1628.2785
174,54668,40675,4322,40311,1628.283
175,54668,40675,4242,40214,1628.2875
176,54668,40675,4152,40096,1628.292
177,54668,40675,4072,39996,1628.2965
178,53826,39999,4344,39599,1628.301
179,53826,39999,4264,39486,1628.3055
180,53826,39999,4200,39400,1628.31
181,53826,39999,4120,39292,1628.3145
182,53826,39999,4050,39223,1628.319
183,53826,39999,3970,39135,1628.3235
184,53826,39999,3872,39030,1628.328
185,53826,39999,3808,38972,1628.3325
186,53826,39999,3728,38902,1628.337
187,53826,39999,3666,38876,1628.3415
188,53826,39999,3586,38812,1628.346
189,52984,39323,3842,38526,1628.3505
190,52984,39323,3778,38506,1628.355
191,52984,39323,3714,38475,1628.3595
192,52984,39323,3650,38454,1628.364
193,52984,39323,3570,38415,1628.3685
194,52984,39323,3496,38391,1628.373
195,52984,39323,3432,38375,1628.3775
196,52984,39323,3362,38366,1628.382
197,52984,39323,3282,38352,1628.3865
198,52984,39323,3218,38332,1628.391
199,52142,38647,3458,38095,1628.3955
200,52142,38647,3394,38047,1628.4
201,52142,38647,3330,37982,1628.4045
202,52142,38647,3266,37950,1628.409
203,52142,38647,3184,37887,1628.4135
204,52142,38647,3120,37877,1628.418
205,52142,38647,3056,37837,1628.4225
206,52142,38647,2994,37808,1628.427
207,52142,38647,2930,37743,1628.4315
208,52142,38647,2872,37686,1628.436
209,52142,38647,2792,37623,1628.4405
210,51300,37971,3016,37408,1628.445
211,51300,37971,2952,37359,1628.4495
212,51300,37971,2888,37309,1628.454
213,51300,37971,2840,37271,1628.4585
214,51300,37971,2776,37235,1628.463
215,51300,37971,2706,37224,1628.4675
216,51300,37971,2658,37211,1628.472
217,51300,37971,2576,37176,1628.4765
218,50458,37295,9874,41575,1628.481
219,50458,37295,9704,41464,1628.4855
220,50458,37295,9592,41438,1628.49
221,50458,37295,9458,41404,1628.4945
222,50458,37295,9314,41389,1628.499
223,50458,37295,9152,41335,1628.5035
224,50458,37295,9024,41334,1628.508
225,50458,37295,8898,41336,1628.5125
226,50458,37295,8754,41307,1628.517
227,50458,37295,8616,41263,1628.5215
228,50458,37295,8450,41208,1628.526
229,50458,37295,8338,41207,1628.5305
230,50458,37295,8176,41142,1628.535
231,50458,37295,8048,41087,1628.5395
232,49616,36619,8546,40823,1628.544
233,49616,36619,8450,40742,1628.5485
234,49616,36619,8322,40649,1628.553
235,49616,36619,8176,40536,1628.5575
236,49616,36619,8048,40444,1628.562
237,49616,36619,7938,40365,1628.5665
238,49616,36619,7826,40285,1628.571
239,49616,36619,7688,40147,1628.5755
240,49616,36619,7576,40045,1628.58
241,49616,36619,7442,39915,1628.5845
242,49616,36619,7314,39803,1628.589
243,49616,36619,7184,39677,1628.5935
244,49616,36619,7072,39602,1628.598
245,48774,35943,7538,39355,1628.6025
246,48774,35943,7442,39259,1628.607
247,48774,35943,7330,39148,1628.6115
248,48774,35943,7202,39035,1628.616
249,48774,35943,7088,38955,1628.6205
250,48774,35943,6962,38875,1628.625
251,48774,35943,6866,38811,1628.6295
252,48774,35943,6754,38715,1628.634
253,48774,35943,6632,38623,1628.6385
254,48774,35943,6520,38575,1628.643
255,48774,35943,6418,38555,1628.6475
256,48774,35943,6290,38509,1628.652
257,47932,35267,6706,38352,1628.6565
